database_identifier,chemical_formula,smiles,inchi,metabolite_identification,mass_to_charge,fragmentation,modifications,charge,retention_time,taxid,species,database,database_version,reliability,uri,search_engine,search_engine_score,smallmolecule_abundance_sub,smallmolecule_abundance_stdev_sub,smallmolecule_abundance_std_error_sub,Breast_1,Breast_10,Breast_11,Breast_12,Breast_13,Breast_14,Breast_15,Breast_16,Breast_17,Breast_18,Breast_19,Breast_2,Breast_20,Breast_21,Breast_22,Breast_23,Breast_24,Breast_25,Breast_26,Breast_27,Breast_28,Breast_3,Breast_4,Breast_5,Breast_7,Breast_8,Breast_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_21,control_22,control_23,control_24,control_25,control_26,control_27,control_28,control_29,control_3,control_30,control_4,control_5,control_6,control_7,control_8,control_9,QC01,QC02,QC03,QC04,QC05,QC06,QC07
CHEBI:180864,C41H76NO8P,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCC)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)([O-])=O,"InChI=1S/C41H76NO8P/c1-6-8-10-12-14-16-18-20-21-22-24-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42(3,4)5)50-41(44)34-32-30-28-26-23-19-17-15-13-11-9-7-2/h14,16,20-21,24-25,39H,6-13,15,17-19,22-23,26-38H2,1-5H3/b16-14-,21-20-,25-24-/t39-/m1/s1","PC(18:3(6Z,9Z,12Z)/15:0)",742.5370292,,,,164.94,,,,,,,,,,,,8182674.689,9978026.643,21664788.09,6265471.653,12633473.94,7382871.911,13860439.69,3073601.759,9252642.623,14563030.85,6480166.089,10609854.47,7233205.26,6736916.921,14028167.01,2891396.084,5103505.389,17058143.5,37687898.42,6724264.863,28867524.56,12118962.76,14058298.73,6020138.133,6951960.923,15319218.81,2483369.641,12548300,17823390.59,20699927.49,6044981.893,4733078.653,8532650.964,1523017.502,14198866.76,3715803.71,3438766.732,5515585.476,16726963.18,866428.5027,3093457.159,5393550.741,7760228.637,3057753.374,8371621.622,8517659.915,19884827.12,0,6716180.871,13515213.23,5689618.819,13360596.24,9683891.284,7590878.532,2537980.658,3281603.445,0,8269000.754,9609572.038,10311932.9,9265426.79,7772121.466,7903039.996,8876386.283
CHEBI:35280,C7H13NO2,C[N+]1(C)CCC[C@H]1C([O-])=O,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",Proline betaine,158.1172056,,,,277.6785,,,,,,,,,,,,309996.5365,538007.4937,429507.1361,1762418.955,1629166.087,514653.972,436801.579,316839.2529,481813.7551,894832.9997,1943785.833,466814.7458,447173.6006,539475.378,941636.8286,421074.9956,1028188.157,462429.2198,903690.2115,493964.0446,2481238.286,1062690.978,902916.8806,405473.7318,577292.4356,413020.736,339953.4607,547040.3665,777088.6212,664449.7596,665743.4636,611804.0495,532341.1065,908024.2269,580210.2152,951912.6129,452445.2929,442462.3081,460658.0832,3708848.702,365382.9742,785988.6665,616752.656,1156580.8,540413.8752,586152.8863,615413.0921,863126.1396,343674.0112,1112214.099,404686.0172,1054077.563,433841.0305,520712.1524,684994.3691,3315404.603,852462.4881,719581.0614,743961.0282,573481.2427,685750.4169,751162.7221,655902.4507,735801.9044
CHEBI:89153,C45H81O13P,[C@@H]1(C(C(C([C@H](C1O)O)O)O)O)OP(OC[C@@](COC(CCC/C=C\C/C=C\C/C=C\CCCCCCCC)=O)(OC(CCCCCCCCCCCCCCC)=O)[H])(O)=O,"InChI=1S/C45H81O13P/c1-3-5-7-9-11-13-15-17-18-19-20-22-23-25-27-29-31-33-38(46)55-35-37(36-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)34-32-30-28-26-24-21-16-14-12-10-8-6-4-2/h17-18,20,22,25,27,37,40-45,48-52H,3-16,19,21,23-24,26,28-36H2,1-2H3,(H,53,54)/b18-17-,22-20-,27-25-/t37-,40?,41-,42?,43?,44?,45-/m1/s1","PI(20:3(5Z,8Z,11Z)/16:0)",861.5452269,,,,219.1935,,,,,,,,,,,,170535.6723,161974.3844,821637.136,272142.9859,210740.7128,208308.0131,422600.7957,166688.498,141057.6995,351387.3656,161766.2976,230459.8837,136196.5809,130339.2147,289922.6137,136996.975,101341.9785,263780.8534,467836.4098,114437.7095,1080425.34,181574.0077,285115.6965,34343.26188,233960.9128,100806.8738,72252.56554,339917.5356,320871.8826,552853.004,207778.0646,397354.4846,290700.5428,193529.4324,310965.927,259147.9575,323713.2445,90195.26255,322621.0352,324591.6597,195595.4982,198336.8792,109907.8189,51681.57123,124942.7312,151920.0712,313191.0018,136227.4024,247167.0683,205129.2966,125499.5311,373102.0313,274910.3809,269682.0102,314153.5927,181173.5065,41534.88454,222477.4595,246659.1574,249673.2025,266003.2452,222191.3906,222187.3327,196624.6017
CHEBI:196828,C45H78NO7P,P(OC[C@H](O/C=C\CCCCCCCCCCCCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(OCCN)(O)=O,"InChI=1S/C45H78NO7P/c1-3-5-7-9-11-13-15-17-19-21-22-23-24-26-28-30-32-34-36-38-45(47)51-42-44(43-53-54(48,49)52-41-39-46)50-40-37-35-33-31-29-27-25-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,22-23,26,28,32,34,37,40,44H,3-4,6,8-10,12,14-16,18,20-21,24-25,27,29-31,33,35-36,38-39,41-43,46H2,1-2H3,(H,48,49)/b7-5-,13-11-,19-17-,23-22-,28-26-,34-32-,40-37-/t44-/m1/s1","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",776.5577731,,,,152.5645,,,,,,,,,,,,26449378.76,20044370.52,29363628.85,20767800.84,29254151.06,22148523.95,38591253.62,47301377.64,41444119.67,31106918.13,23683564.11,24410112.65,31576649.95,30132729.43,52480552.66,43687177.17,28060854.09,40663305.24,69860905.26,29011368.41,39701974.09,25115462.07,31657766.26,27595697.86,32406831.77,26231226.53,29075560.78,29168994.62,48587464.19,42654700.69,74724889.68,75246135.76,41943833.39,124384916.4,41006668.09,85146979.9,37506346.45,65217707.24,39844293.21,64903268.98,74811073.52,40603047.63,97924569,47305945.43,74575857.27,47312883.6,54149820.16,60618913.41,40336119.04,47051051.46,49853363.45,92539101.52,93954805.69,34673735.04,60832341.48,70360827.14,85781626.88,41738402.15,43662796.49,43702693.64,46791987.24,43487581.65,46289556.48,45881641.88
CHEBI:88433,C46H82NO8P,C([C@@](COC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)(OC(CCCCCCCCCCCCCCC)=O)[H])OP([O-])(=O)OCC[N+](C)(C)C,"InChI=1S/C46H82NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-28-30-32-34-36-38-45(48)52-42-44(43-54-56(50,51)53-41-40-47(3,4)5)55-46(49)39-37-35-33-31-29-26-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,27-28,44H,6-7,9,11-13,15,17-19,22,25-26,29-43H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,28-27-/t44-/m1/s1","PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",808.5840409,,,,70.5836,,,,,,,,,,,,121306793.3,689755707.2,980717273.7,162418517.7,284950024.3,312276426,185030630.9,650391504.1,897711931.8,162752775.7,103375601.4,205146976.8,497884552.5,138845844.2,661219586.4,621818831.7,281687975.5,293320658.9,389801270.3,88339534.46,612151692.4,244550636.7,71342331.57,330844524.8,583821956.3,324229317.7,455930240.4,331047830.4,506597730.5,515435375.8,229956933.6,885525939.6,279342357.3,142054882.2,200150462.4,145396312.8,776840406,134278656.7,230976638.8,230642603.2,736245336.8,157453546.2,809737062.2,79685982.46,164067940.1,434850765.8,181410384.6,466479651.2,767174924.6,484696490,286405192.5,291055943.4,109255107.5,406383609.1,177135118.5,311179921.7,203174075.8,363154441.8,460023940.9,182650414.2,413811152.6,624810359,609114305.7,380796960.2
CHEBI:46195,C8H9NO2,CC(=O)NC1=CC=C(O)C=C1,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",Acetaminophen,152.0701244,,,,23.8988,,,,,,,,,,,,56345.24649,58737.41453,324279.8992,64685.93463,49048.60506,103986.6578,60060.7845,166422.5575,47131.49111,52775.44806,38218.88907,108250.6377,111607.4574,124949.3299,75292.07537,65420.73656,65639.53835,41833.43305,65032.44083,46013.02934,59039.54529,166810.5849,41666.60291,538172.2987,61880.68903,46069.62587,77388.4979,94728.2739,63108.39989,64596.21065,88845.76011,50383.15248,166549.8262,84873.38549,36960.7662,51171.01097,51739.02373,59657.04782,54436.19081,109732.8207,224386.65,113482.2597,98220.56385,51236.9431,111950.0494,71560.6167,384102.2492,85955.186,51624.00529,54176.20784,52805.82886,204290.3238,132959.2135,66846.75496,409657.2436,56202.43243,89955.19982,116596.7125,107629.9817,120741.9287,96957.13005,114195.459,101702.9943,108920.5037
CHEBI:177980,C13H20O,CC1C(O)C=C2C1(C)C=CCC2(C)C,"InChI=1S/C13H20O/c1-9-10(14)8-11-12(2,3)6-5-7-13(9,11)4/h5,7-10,14H,6H2,1-4H3","2,4,5,7alpha-Tetrahydro-1,4,4,7a-tetramethyl-1H-inden-2-ol",193.1582554,,,,32.2722,,,,,,,,,,,,1120764.932,1264794.591,1156079.319,1990289.226,1603327.043,2921417.963,2279763.016,1961810.807,1921686.52,1823903.029,1502347.824,837723.5603,1304374.445,1715647.062,3145032.311,2322590.243,1267039.168,1646051.224,924985.146,1431189.237,1617570.278,2395726.14,1317059.793,1140298.895,915101.0755,2530879.995,604845.5105,2235516.051,2018291.37,2213161.774,2536575.329,1432976.768,1946202.939,2355465.522,250289.7343,1842208.365,147190.8789,2584983.245,1129688.754,193291.3798,2243159.727,2228483.596,1456777.824,508346.7799,1340123.116,1280802.011,2823280.785,219631.8591,2205266.768,1283598.814,1346727.911,1452679.821,164964.8695,1079495.904,2360357.147,2024622.768,1402641.001,3006233.958,3006177.138,2879397.877,3187928.157,2558580.001,3149768.506,3157860.967
CHEBI:176694,C48H84NO8P,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)([O-])=O,"InChI=1S/C48H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-26-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,28,30,34,36,46H,6-7,9,11-13,15,17-19,21,23,26-27,29,31-33,35,37-45H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,30-28-,36-34-/t46-/m1/s1","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)",834.5950645,,,,208.76,,,,,,,,,,,,119248.1766,264274.3589,433132.6763,206723.6363,339347.8134,371421.5817,677102.3769,372213.8816,618252.2962,444216.212,213131.3246,191233.7082,197743.9064,222362.6945,453862.927,203594.2937,214095.906,243453.4432,459212.3284,254247.1603,743044.3382,323275.9902,110887.9033,121621.0653,224225.3045,189701.0174,237779.8052,583504.6337,514536.6075,375673.4001,323296.2127,377220.7853,419138.0673,510026.6267,332646.027,500887.9044,524585.7639,412393.9058,454813.8728,661801.2948,369242.9252,383601.6259,540157.3685,584188.068,617517.2881,591698.5963,450197.8655,398884.5472,664466.9529,397167.9839,252443.5216,538281.2255,571821.3887,574417.7635,622302.8024,441463.8109,689460.999,724730.2151,460235.4964,474780.0539,419863.7983,263239.3921,334237.1338,459731.4327
CHEBI:6790,C15H21NO4,,,(?Â¡Ã€)-Metalaxyl,280.1537202,,,,253.102,,,,,,,,,,,,408040.6013,539022.4164,6705834.454,4942551.637,505251.4435,903206.1125,1259063.147,2993929.384,1960231.813,368497.3448,582620.4567,984826.9472,3163588.76,2033197.6,1870925.123,3178192.887,549585.6504,1720319.353,2782906.317,1873886.377,4419645.5,4943382.184,1599003.887,3856010.446,5424233.441,608649.3461,557453.7341,1235119.694,5150451.351,7022349.17,2104820.034,1036432.574,4021881.27,4143767.531,2302610.584,1111193.28,5138563.34,7148477.713,6488449.32,4490111.51,3261773.467,6002638.497,1206251.392,5572691.586,5711153.555,1594586.419,11227318.33,9873907.931,1569161.883,2322107.119,652243.4262,5571358.042,2751481.155,2568171.444,7210399.8,5326222.032,1349043.968,3459923.853,3428367.259,3512966.996,3432531.072,3532106.271,3544487.917,3539693.767
CHEBI:90483,C41H78NO7P,P(OC[C@@H](CO/C=C\CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(=O)(OCCN)O,"InChI=1S/C41H78NO7P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-36-46-38-40(39-48-50(44,45)47-37-35-42)49-41(43)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h12,14,18,20,33,36,40H,3-11,13,15-17,19,21-32,34-35,37-39,42H2,1-2H3,(H,44,45)/b14-12-,20-18-,36-33-/t40-/m1/s1","PE(P-18:0/18:2(9Z,12Z))",728.5563798,,,,158.945,,,,,,,,,,,,9807013.727,4105180.543,3855464.918,2794448.894,8797766.675,7101123.054,6910238.205,7158093.216,5400412.472,8796924.865,6455198.785,13557610.96,8410273.727,13835628,9857666.537,7962063.593,7488330.946,15008160.74,15268703.46,7242634.434,8640447.797,9106941.293,14309995.21,8349076.319,8849821.322,8761612.991,7666436.325,3872188.139,10217129.24,17555565.85,27710245.27,12785058.09,17718432.2,22424726.52,12107969.47,28594431.98,12376021.78,16791832.86,13922669.94,15652784.73,16169458.96,9844732.786,11339064.1,10882191.52,15876547.17,15734003.56,17144564.99,23587628.67,9362139.06,15963181.83,17985207.09,14388232,26686127.17,6542528.947,10277629.93,19704184.19,19624897.69,9120998.001,10370424.52,10600494.69,11628625.09,10980136.92,13565028.02,13174662.67
