database_identifier,chemical_formula,smiles,inchi,metabolite_identification,mass_to_charge,fragmentation,modifications,charge,retention_time,taxid,species,database,database_version,reliability,uri,search_engine,search_engine_score,smallmolecule_abundance_sub,smallmolecule_abundance_stdev_sub,smallmolecule_abundance_std_error_sub,Breast_1,Breast_10,Breast_11,Breast_12,Breast_13,Breast_14,Breast_15,Breast_16,Breast_17,Breast_18,Breast_19,Breast_2,Breast_20,Breast_21,Breast_22,Breast_23,Breast_24,Breast_25,Breast_26,Breast_27,Breast_28,Breast_3,Breast_4,Breast_5,Breast_7,Breast_8,Breast_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_21,control_22,control_23,control_24,control_25,control_26,control_27,control_28,control_29,control_3,control_30,control_4,control_5,control_6,control_7,control_8,control_9,QC01,QC02,QC03,QC04,QC05,QC06,QC07
CHEBI:28619,C3H5NO,MTBLS6894,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",Acrylamide,72.04424379,,,,37.0519,,,,,,,,,,,,11332429.49,5477129.05,7242943.019,5499227.027,4535318.103,4477904.629,1485624.04,3308941.925,681573.2106,1049959.477,759529.9574,2823683.64,715489.4429,1173879.661,1399831.179,2052195.823,1391498.922,1093241.666,553917.3967,924650.8513,1176411.419,6314878.405,9882689.704,7409025.963,4951364.913,4551432.797,11223944.18,2444595.564,3301898.346,3010116.457,3159151.835,4897499.115,5063998.688,2897698.117,3601833.089,2525346.922,1921757.651,2222948.881,4452361.096,2153917.867,2111892.041,2077722.807,3224879.668,2842744.821,2903829.877,4300464.543,3646640.56,1259515.392,1700258.452,3212714.548,4205224.354,3671722.311,3288165.198,3738958.679,3327358.108,2478127.755,979401.6919,3335100.005,3086969.402,3634066.546,3407570.858,3184115.937,3576828.652,3319273.251
CHEBI:17401,C6H18O24P6,,"InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2-,3-,4+,5-,6-",Myo-inositol hexakisphosphate,660.868885,,,,294.623,,,,,,,,,,,,16468.18328,20064.03627,10869.07485,39965.81565,0,9818.013938,78561.49501,74347.3105,0,18049.95674,44714.07798,34950.76276,28469.17561,43591.04226,52845.51923,63999.73975,0,35302.29152,0,7294.746681,47534.46521,7134.867448,23633.65503,45726.87998,75074.30403,24024.59039,39308.90713,34316.84343,26357.09468,75445.60666,13944.31817,39183.49061,118277.2112,143047.1413,130444.3669,148097.186,69046.48774,48033.08655,91093.97292,52483.90029,58027.3603,13113.57988,41763.88279,17957.45233,44094.6009,93316.58753,78775.01394,24173.63581,120187.0455,33830.48919,109779.7385,88192.19593,90652.48283,66023.71144,47386.49623,46031.19883,5622.815917,38368.90155,35095.43336,42296.86275,69201.01524,53895.72134,42307.49573,49126.30547
CHEBI:35807,C2H6N2O,CN(C)N=O,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,N-Nitrosodimethylamine,75.05509242,,,,309.404,,,,,,,,,,,,4083649.64,2332000.908,3600750.699,2134537.535,3584972.735,2547320.227,3609102.535,3711536.333,2589919.385,2167201.53,2696064.528,3154690.461,1840968.76,2412826.738,2089278.014,3520550.047,2976430.302,2289289.57,2489670.099,2047593.948,2684846.814,2029317.823,3239502.041,3603546.065,4406051.826,2801970.308,2731788.512,2634322.272,2359031.939,2152888.049,3103352.825,3592136.01,2912339.964,3333821.023,3665072.719,3546614.386,3003520.712,2860352.568,2181071.722,3267594.126,3662083.495,2518541.889,1760693.13,3294035.184,2763223.781,3657255.498,2976196.257,4689591.32,3104076.315,3853229.411,3131320.143,2764115.153,3011879.331,2831017.618,2725477.344,3379209.174,2755569.492,2372528.032,2823893.155,2914722.322,3089487.312,2917793.484,3318919.06,3241128.489
CHEBI:41879,C22H29FO5,C1=CC(C=C2[C@]1([C@@]3([C@@](CC2)([C@]4([C@](C[C@@H]3O)([C@]([C@@H](C4)C)(C(CO)=O)O)C)[H])[H])F)C)=O,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1",Dexamethasone,393.2082494,,,,71.17945,,,,,,,,,,,,32479276.7,25653069.82,34690690.84,30209505.64,24081154.53,27651626.36,36138919.57,42741207.12,23276270.06,26199473.33,26815285.96,30175868.94,28494258.35,31892511.16,39055064.17,34413091.85,40111625.75,28030709.3,36669624.91,22572230.97,42010800.44,50012996.33,34224483.33,62382489.9,49534248.19,33845392.85,77200620.35,30937657.83,27817234.69,41132329.83,25894149.6,36651187.1,33241834.16,41221467.05,35687736.64,36884335.33,34578439.7,30405249.25,38014776.4,27402710.96,29343212.76,26599710.36,38632675.98,38296933.42,42701303.79,65339013.18,37387057.3,56707712.6,43050537.18,32716383.15,36500878.16,44946760.08,36390762.75,40845138.71,39907648.9,26688884.91,22895913.59,32621565.04,33739342.57,35584280.05,36096662.7,44012037.72,38216595.68,38198084.15
CHEBI:19092,C4H7N,C1CC=NC1,"InChI=1S/C4H7N/c1-2-4-5-3-1/h3H,1-2,4H2",1-Pyrroline,70.06501788,,,,310.765,,,,,,,,,,,,2164928.112,5425240.133,5818980.481,8320695.959,17974940.18,9507740.239,4857957.621,7442628.694,7394839.685,7004659.659,12016874.39,15394739.18,6929705.801,9393707.93,7014254.192,9839012.956,8073631.474,9506468.625,14722149.76,5427532.335,6863771.592,17363323.2,6367645.632,6941379.483,8741310.172,6113284.544,4903736.592,5679300.565,18326734.11,7674300.729,15742434.26,12096606.04,16550782.3,19348214.06,12336091.69,9472018.456,9065109.35,9529374.417,7355456.006,7037672.148,8705959.838,13476378.87,10185083.57,17095429.53,8537931.222,8449888.465,21376835.12,9675055.144,7605225.741,10080403.37,12264721.29,9261378.92,12912836.92,8393860.996,7971421.214,8154861.447,8258662.339,9044941.153,6265375.379,14403727.41,9502992.289,8457981.686,9080940.36,7614743.354
CHEBI:175520,C27H32O5,O1C[C@](CC=2C1=CC(OC)=C(C2OC)CC=C(C)C)(C3=C4OC(C=CC4=C(O)C=C3)(C)C)[H],"InChI=1S/C27H32O5/c1-16(2)7-8-20-23(29-5)14-24-21(25(20)30-6)13-17(15-31-24)18-9-10-22(28)19-11-12-27(3,4)32-26(18)19/h7,9-12,14,17,28H,8,13,15H2,1-6H3/t17-/m0/s1",Kanzonol I,437.2335011,,,,75.73875,,,,,,,,,,,,29668443.97,25775324.61,35243150.02,29500083.37,24682923.46,30247486.41,32294628.24,41937729.21,22202375.16,27372477.66,25513449.36,30781993.83,28511299.43,30934808.36,40210086.43,34718414.53,41657682.72,28304325.04,36384434.57,21502099.79,33901063.72,38477690.55,31810349.52,55820799.84,46896449.02,33180597.39,72348719.83,32133093.68,27927961.31,40119889.73,26355573.16,39635992.57,34148121.6,38944964.43,34410213.51,36008338,36432988.33,27944029.78,37899499.5,29520634.22,27879285.79,26120537.17,41905808.02,37450536.79,40934678.78,65836033.83,39072119.5,52552930.93,45708095.41,30145838.48,34915361.55,53146095.97,38827409.84,34252069.7,42862572.94,25966000.91,21936354.99,32578879.39,26201063.07,25971832.81,37410798.09,42461843.99,40900276.08,42958408.95
CHEBI:17368,C5H4N4O,O=c1[nH]cnc2nc[nH]c12,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",Hypoxanthine,137.045493,,,,230.228,,,,,,,,,,,,45333.24373,587078.5338,1487938.651,1694156.855,5647096.213,715108.7291,35241733.01,26684345.23,3575316.048,2461449.048,1261894.189,751968.3725,4317881.218,2643989.299,3006095.906,47087865.48,28281586.13,518189.0427,4833389.211,5644341.272,1800516.696,1679049.928,11377993.68,1359601.716,4669204.552,5344992.376,5442348.963,3753308.585,2451206.743,494997.3634,7210111.249,1005518.613,7094758.635,2377573.273,187131.6648,784939.6561,0,1003420.773,927085.0916,3405345.108,108601.8727,1430139.211,2028968.34,6967130.82,3754029.453,2059669.209,2258728.824,1487576.032,987925.3294,2497328.53,387365.7869,1049691.836,2798542.908,1416510.828,4592140.923,1468422.558,3977324.439,4842566.449,5135597.586,5392888.033,5325694.65,4769328.669,5330271.112,5114986.153
CHEBI:16898,C4H4N2,c1cncnc1,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,Pyrimidine,81.04449961,,,,53.95465,,,,,,,,,,,,8338335.082,6398112.285,6353047.805,7489761.803,8510429.236,5976308.518,6922542.575,6069394.785,6056073.443,5841033.611,7197922.893,6616334.429,6003430.485,6679860.727,5795132.703,5399583.8,4021980.218,6012072.766,5699708.55,4237846.457,6051362.053,6469540.486,6768099.162,6516322.18,5976169.174,5385204.474,6614368.626,7754446.667,6364947.009,5504563.919,6679647.142,5275294.002,6980214.849,6413323.007,6624281.448,5893843.983,6315869.854,5786516.62,5985493.005,7085239.543,4389354.92,7874112.052,5511846.33,5732652.065,5957404.212,4344452.184,7559985.758,6295702.112,5948077.651,5866685.19,5173026.367,6495957.53,5617659.597,5534253.997,6016782.116,5698987.191,5791805.816,5387219.176,5489754.738,6092544.87,5702409.662,7663893.935,5636085.58,5936649.261
CHEBI:17750,C5H11NO2,C[N+](C)(C)CC([O-])=O,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",Betaine,118.0858854,,,,285.3685,,,,,,,,,,,,341074766.7,363686961.6,474248611.7,333440119.5,451721916.9,336314510.4,544800635.7,283247952.7,303910464.7,190361952.6,301904378.1,439952356.7,422120156.9,356875958.9,355499803.3,384105999.3,449399888.8,435082742.5,334895480.8,288289787.4,337412193.4,263616598.7,317335408.4,426245220.8,496821103.1,285588742.3,447873517.6,413966755.8,470314077.4,322534228.1,468591404.3,388376520.8,312426298.6,399448954.8,406460115.6,390870155.1,508378774.7,383850483.3,296872997.5,378272151.7,327612908.8,366271408,358102796.2,407877696.1,285867021.3,394084111.2,430622746.8,475886747.6,446892550,443275261.6,405854399.4,400571256.1,418625189.2,600215213.3,335043273.1,502879518.7,477180951.5,399816923.8,400313003.6,394359238.6,390511235.5,404936542.3,418860831.5,406593069.2
CHEBI:31697,C8H7NO,O=C1Cc2ccccc2N1,"InChI=1S/C8H7NO/c10-8-5-6-3-1-2-4-7(6)9-8/h1-4H,5H2,(H,9,10)","1,3-Dihydro-(2H)-indol-2-one",134.0596343,,,,26.9476,,,,,,,,,,,,1652002.423,2425141.36,9648468.416,11823676.63,3842552.535,3670087.086,5713809.034,7126172.923,4280262.132,2303143.645,6480998.365,3813704.316,11012767.94,8924556.892,9248050.161,9528245.004,884721.6188,4478663.225,7130137.068,4343658.139,5586322.335,9857198.253,5157180.807,4990768.094,7258977.419,2630044.486,1997344.997,4452788.222,14623490.03,6956168.722,7814681.74,3331569.649,12541946,15213173.97,8989623.145,8255755.581,10597380.39,20132669.56,18048945.34,14175491.46,9772490.803,12785662.47,5327295.69,13576786.49,10208596.64,6669671.479,39522.93363,15573295.89,3633075.165,13619254.01,5488251.839,8025999.54,6107342.167,9666516.685,21682416.77,15099084.44,14325237.77,8872300.492,9449172.935,8946189.498,9258594.396,9081905.706,9554464.611,10091750.68
CHEBI:35026,C6H15N,CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",Triethylamine,102.1274085,,,,36.6322,,,,,,,,,,,,14782349.85,8148348.082,17027998.23,12749060.53,7000056.17,15835886.66,12572773.8,10675599.92,9345143.663,7127734.173,9610817.987,18855570.49,8003735.221,8217609.583,10644693.43,17825739.89,9068103.123,11587634.44,9856954.839,9311663.317,11550801.01,7235879.942,7525190.584,8510701.722,12989335.65,13270491.36,11524113.75,7621152.613,8582589.447,14749741.67,7959762.436,10494802.24,6281011.019,8903721.868,16475919.57,10993145.84,17760437.25,7498562.323,13012305.71,11196152.48,16179126.59,10206549.96,12729941.13,7423869.024,10980464.3,11219706.42,19592485.78,20322414.69,9228736.326,19336729.55,16632705.19,7034933.359,11462997,8459136.051,13110221.92,7588425.968,9300711.549,7434025.908,5949771.397,14276014.87,9640296.569,13039637.95,11875039.38,11502248.04
CHEBI:26546,C6H14O6,,,Rhamnose,187.0569334,,,,305.932,,,,,,,,,,,,6624320.191,9247171.08,10235985.27,10511292.17,7357227.057,9916104.355,13771889.41,16707425.06,8586262.088,9711704.671,11594947.72,10999409.82,14261218.82,13186028.02,16863988.29,10858804.97,15611437.16,13179956.54,13745872.59,11180741.75,15885660.58,22746035.07,9546563.685,22325522.62,10684462.5,10471043.07,29614939.34,12392437.27,10994901.52,16372133.83,10767657.79,9871570.976,15126638.71,23703947.51,20807766.8,19648542.61,13699574.86,10328225.74,16722374.89,8419564.231,11211574.35,9087823.026,16437825.89,13499316,15429199.65,17768118.83,12765014.33,13193044.06,20924105.07,8370598.238,26123843.4,17208399.86,12385247.77,18446346.03,16121429.88,10739409.01,9435631.383,13978538.59,15269420.06,15255476.55,15703892.94,14688454.05,16216262.17,15876639.7
CHEBI:28123,C4H11NO2,OCCNCCO,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2",Diethanolamine,74.09626466,,,,2.59941,,,,,,,,,,,,26323066.18,0,0,23647416.51,13566963.89,30264978.77,0,17563879.57,19160600.67,19723585.11,37817133.48,29209040.99,17263665.54,15163661.54,0,31660531.21,19836812.48,28250738.36,0,19676351.65,0,19929636.44,0,26642730.7,30232006.14,0,0,0,0,0,18463871.94,29517654.73,0,0,32944963.73,31404186.64,30804336.36,6259725.958,32761000.62,41392020.02,6962219.864,25161177.33,0,0,32286109.9,35035494.73,0,33129276.9,26040998.45,41642911.38,27996667.75,0,26837229.41,0,0,20953848.95,19471302.29,18373110.7,17230306.34,0,21192382.32,30771646.37,29478208.2,30439038.91
CHEBI:24814,C9H9NO,OCc1c[nH]c2ccccc12,"InChI=1S/C9H9NO/c11-6-7-5-10-9-4-2-1-3-8(7)9/h1-5,10-11H,6H2",Indole-3-carbinol,130.0647394,,,,43.4516,,,,,,,,,,,,3718095.044,1779713.283,2278599.283,1790322.838,2120743.353,1299448.447,2290655.404,2221845.153,2243459.341,2285433.556,2456640.429,1995220.822,1622223.516,4369327.19,2285741.995,2801727.324,2125773.406,1571046.119,2775441.635,2226874.445,2103520.608,1703346.3,1876021.126,1743759.797,2173520.751,1168299.16,2368526.01,2411859.756,1101777.442,2429940.076,1424495.623,2109489.307,2362101.729,2164801.546,4708305.864,2349567.093,2244152.392,2426094.699,4675989.125,2120286.492,2390184.219,1120972.104,2472286.723,2400553.842,2591463.102,2743204.716,1251832.747,2157210.251,2799558.578,1480746.575,1534419.616,2533635.002,2345923.522,2581214.058,1975413.293,1559204.483,1874523.925,3950235.419,2088257.068,2370521.093,2190707.463,2316266.284,2258714.618,2057205.142
CHEBI:192297,C5H9N,N1CC(C=C1)C,"InChI=1S/C5H9N/c1-5-2-3-6-4-5/h2-3,5-6H,4H2,1H3","(+)-2,3-Dihydro-3-methyl-1H-pyrrole",84.08067418,,,,262.833,,,,,,,,,,,,6311569.474,5003751.026,6760949.036,13031712.18,9234894.818,6228770.05,9664618.798,7420470.705,6827314.403,5133711.848,7724307.222,5986779.497,5622657.387,5840066.452,14444142.49,11394067.12,13600972.04,6490525.892,7124197.464,3808773.067,4790962.384,7941152.688,4518517.934,6144586.195,15979893.09,14295279.95,4820045.399,8017128.419,17598156.32,5604970.519,7677585.156,8708858.66,7057568.452,7436324.167,18730270.3,6730820.068,7025510.117,7614640.851,5268945.558,7655294.8,7832252.838,5769300.611,6108503.642,7411752.833,5974338.089,10476007.76,7188528.641,7649164.184,5226391.406,7344729.205,5315363.738,7079636.992,5885792.634,11060006.33,8345920.123,7362759.655,4781316.708,7300935.143,7155232.219,6724807.354,6768248.555,7134696.766,7302873.435,6817033.574
CHEBI:18123,C7H7NO2,C[n+]1cccc(c1)C([O-])=O,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",Trigonelline,138.0546345,,,,298.874,,,,,,,,,,,,1041473.073,1709031.229,2876101.605,1156899.19,3499736.178,996282.8154,2114718.764,2207478.113,1111837.355,6143529.383,474982.4383,1001785.415,5548729.082,3240015.601,5903399.991,6583142.507,2266103.639,2743954.826,11081946.41,3129364.847,9195275.444,2481354.453,13335176.96,1797559.554,591202.6046,388138.5745,1280548.888,2689657.448,1132273.14,4433621.267,4142602.285,7722685.153,4024964.768,7715854.926,2180387.759,1124428.944,10222565.83,1122646.332,2302371.594,10770430.49,1287494.36,3011579.67,1238936.181,3706197.606,12791383.98,16749371.53,1242589,10498463.13,2900292.677,12478314.96,5039711.663,7485754.9,2509430.304,15138899.33,8869842.157,9322289.603,471686.2644,5080023.741,5268886.631,5196640.473,5333212.754,5208512.773,5009097.155,4826103.988
CHEBI:27389,C4H9NO2,CC(CN)C(O)=O,"InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)",3-Aminoisobutanoic acid,104.0702077,,,,313.5125,,,,,,,,,,,,3374244.907,1791123.996,21041404.63,6691501.669,1438297.851,8099588.428,1745286.336,1844904.349,3008699.19,2997260.585,2555247.195,4741580.798,1992612.731,3173881.08,4834599.432,9768574.521,2710289.671,4159063.226,4283645.705,5505618.005,2952866.741,1896369.777,3706419.738,2564284.589,5475614.545,5827604.177,2111119.806,2098361.92,1575313.456,4240129.523,2389277.676,16289050.49,1389072.159,2166441.67,6738273.051,7331974.406,5877975.247,1468518.695,4011835.213,3338099.8,2142073.238,4948018.033,2851341.631,2123569.047,3340389.881,5785894.938,3625129.641,6201448.127,2835097.59,5285025.137,4791186.19,2759211.564,3524530.534,3214198.276,6161320.126,1780037.749,3180827.501,2139222.472,2225717.981,2584969.887,3260275.572,4273512.686,5737625.822,6447854.913
CHEBI:33135,C4H9N,C1CCNC1,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",Pyrrolidine,72.0806167,,,,315.47,,,,,,,,,,,,11001338.75,8023464.779,15824382.93,10111282.35,9138926.833,11001521.37,8101262.433,9743582.937,8423970.912,6564596.323,9671018.188,11517245.98,7155453.684,7331677.716,13458837.63,20095109.34,8122626.201,21092755.97,13079038.65,6258973.267,10896394.85,10553851.57,8289797.707,7776798.508,9192354.716,8990256.031,8809558.653,9816428.579,11111842.49,14001963.07,11455784.45,12558397.05,9884811.209,8491888.972,11788519.94,11386254.15,11043472.91,11776322.91,13285863.96,9396609.794,10592325.93,4203865.333,8009809.803,9908473.617,8728265.178,13868148.55,12188132.83,13752563.44,8533559.075,16419077.22,8679472.895,8216893.829,10077997.55,11863562.05,4966550.383,8719491.661,9397415.746,18788761.02,10143775.67,9103909.762,10432106.95,11152813.55,12519877.6,11765418.56
CHEBI:169679,C14H20O9,O1C(C(O)C(O)C(O)C1OC2=C(OC)C=C(O)C=C2OC)CO,"InChI=1S/C14H20O9/c1-20-7-3-6(16)4-8(21-2)13(7)23-14-12(19)11(18)10(17)9(5-15)22-14/h3-4,9-12,14-19H,5H2,1-2H3",Leonuriside A,333.1143238,,,,372.921,,,,,,,,,,,,773898.985,497187.7912,652497.2761,932573.6137,568302.0584,488692.6316,14783052.09,1374633.569,698016.2446,804453.0311,940757.8733,698514.4977,1023847.814,1008058.493,1223592.531,977316.9301,1105233.497,763099.1066,1192859.038,737721.807,1297171.042,2432645.642,772167.5021,3449118.771,834694.7571,660190.7747,2568928.443,1142973.499,1088682.207,1592568.528,910876.2163,907450.7743,1921369.434,4055724.487,3324336.24,2867155.752,1044482.073,866509.2869,1224307.346,729548.9499,924729.7315,750777.7684,1128432.849,1449384.343,1553871.767,2005445.836,1232709.441,1370535.045,1916851.539,630935.2308,3179723.062,1565487.985,1252823.323,1741667.586,1285340.669,912196.3185,670830.3551,1544781.992,1633171.97,1699369.106,1722891.641,1690808.707,1609815.129,1690061.451
CHEBI:15354,C5H14NO+,C[N+](C)(C)CCO,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",Choline,104.1065652,,,,272.2975,,,,,,,,,,,,475498047.6,184220094.5,305167315.9,187261351.7,119226926,350240827.7,184110619.1,197718593.4,143164613.5,204771106.3,137245679.4,183363342,145799075.8,100412004.9,290856687.4,259404277.2,153086100.6,154443021.5,182760449.5,216966327.4,159382306,158888899.9,181786069.3,170898441.8,208153212.9,267472081.7,155298328.4,112718122.2,172572574.8,188856249.9,155480211.3,241721413.6,163671091.8,159180987.3,254890620.3,229416736.5,250922076.4,110384333.6,194963687.8,217384339.3,187784057.3,188717968.1,115369195.3,160501224.8,167868287.9,262536121,204265139.8,186205797.1,192893854.3,195075574.5,169545817,188793972.2,195002414.8,186452872.4,193197972.7,161605992.3,94595947.83,258355815.2,165979525.3,168617978.8,189304098.2,185814377.3,391570977.6,203778539.2
CHEBI:17154,C6H6N2O,NC(=O)c1cccnc1,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",Niacinamide,123.0548602,,,,58.9274,,,,,,,,,,,,3304795.072,6113642.341,8871603.683,2749158.38,2983365.921,300102.6361,3302460.465,4189586.669,1890686.436,1066834.932,1048507.543,1894515.132,2856053.134,1132692.759,956130.2975,4054849.828,1909828.613,695554.062,663015.9828,608195.9586,2366667.515,1934520.79,6500467.245,2211757.673,3803165.635,3677110.185,1698093.739,4625583.174,5052179.735,3565168.911,1729921.803,3279130.562,4491883.615,2184523.838,5698984.011,4688061.554,2516330.863,5541526.454,6450530.723,3894242.251,3715708.454,2927902.894,3520266.768,2812733.143,1870850.587,5186938.466,5035914.153,3585238.773,1902106.125,3634504.553,4179624.819,6213369.084,2812905.374,2879963.274,2459463.475,3333268.877,1958929.254,2607117.949,2544350.294,3163111.104,2767009.768,3367498.581,2835136.779,2844416.347
CHEBI:179434,C8H10N2,N1=C2C(CCC2=NC=C1)C,"InChI=1S/C8H10N2/c1-6-2-3-7-8(6)10-5-4-9-7/h4-6H,2-3H2,1H3","6,7-Dihydro-5-methyl-5H-cyclopenta[b]pyrazine",135.0912586,,,,48.2339,,,,,,,,,,,,0,0,14521976.28,1391982.683,11256600.74,14140.76313,1445845.706,0,0,0,0,11050604.4,0,412355.098,0,0,8832120.66,841636.7442,7577563.975,11883.19134,0,0,3127546.243,1533465.869,17041918.65,0,10695499.83,0,0,0,0,0,0,0,0,0,18977.04106,8209.019766,0,12537.32039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15223.0673,1358091.317,1490125.916,1676503.465,1604820.908,1898320.779,1607661.637,1663283.806
CHEBI:11750,C8H12NO10PR2,N[C@@H](COP(O)(=O)OC[C@@H](COC([*])=O)OC([*])=O)C(O)=O,,Phosphatidylserine,386.1227602,,,,507.0785,,,,,,,,,,,,9220379.552,7860479.46,2580035.361,10056562.28,8411176.581,2759104.824,7372279.128,7990087.759,6194812.074,7678566.272,7451701.77,6204835.3,7724243.29,7965528.515,6503252.138,5914282.597,7341105.538,4956964.999,6868118.582,7934598.315,6874679.524,7655870.1,7907158.224,6812932.534,6400769.308,6481413.732,7181891.893,8285986.112,7579216.202,6311626.621,8003303.372,6342192.816,8064652.035,7347982.042,6124417.088,6277116.782,2990879.613,8203298.628,2730717.496,6715982.558,6754123.312,6931765.319,7139044.995,7918635.748,3765869.111,6344349.465,6242007.658,6251886.802,7099475.685,6066316.371,6616932.314,7308583.166,6953345.02,7764019.927,2854111.754,7814172.436,8069303.949,6635168.468,7961259.987,7546185.245,2842062.068,2426138.049,6390763.018,3190119.426
CHEBI:176071,C34H40N4O4,O1C(C(NC(=O)C(N(C)C)CC2=CC=CC=C2)C(=O)NC(CC(C)C)C(=O)NC=CC3=CC=C1C=C3)C4=CC=CC=C4,"InChI=1S/C34H40N4O4/c1-23(2)21-28-32(39)35-20-19-24-15-17-27(18-16-24)42-31(26-13-9-6-10-14-26)30(34(41)36-28)37-33(40)29(38(3)4)22-25-11-7-5-8-12-25/h5-20,23,28-31H,21-22H2,1-4H3,(H,35,39)(H,36,41)(H,37,40)/b20-19-",Ceanothine E,569.3127487,,,,94.5806,,,,,,,,,,,,29218080.96,18825345.05,36109191.83,29188233.93,19504885.26,34903817.88,33657576.03,46372221.41,14875070.52,22895171.79,22608898.21,32888184.48,32243173.07,28878796.5,42755175.9,36238857,45220504.93,32204634.52,38386898.52,18986449.76,32933375.75,39013901.62,31448926.58,46323300.15,43914530.22,32880193.14,88270306.99,10125669.06,28718461.34,44566782.89,32001484.77,39309265.6,33795460.72,35497407.94,29280099.98,19759671.5,39383604.09,28283314.29,36971423.86,16099053.16,26759809.64,19163392.7,41185688.58,43869306.51,44643998.51,74507724.54,41432864.91,58565887.97,28937494.59,30496300.12,29840199.09,48289176.28,26226189.51,48753282.52,42661471.64,27142820.36,19641897.91,33580492.04,11830349.11,39056653.57,37151173.02,34917084.69,42558940.51,25129401.77
CHEBI:88153,C12H20O6,O(CC(COC(CC)=O)OC(=O)CC)C(CC)=O,"InChI=1S/C12H20O6/c1-4-10(13)16-7-9(18-12(15)6-3)8-17-11(14)5-2/h9H,4-8H2,1-3H3",Glycerol tripropanoate,261.1303163,,,,59.73025,,,,,,,,,,,,54829868.13,46175826.17,53760821.68,41362340.29,36813280.23,43713203.14,51436145.33,73858101.89,33284570.67,44980070.14,43685327.98,53514977.39,45068456.96,56157606.19,60422511.86,59189203.6,53316249.58,44659388.08,43303026.62,46579907.02,61683800.48,65810213.86,61613161.22,71666945.38,82795990.79,56863962.21,96223811.22,57205677.07,40240950.53,66860733.99,40030052.96,57563566.87,55957945.08,72376104.77,67356789.41,62560058.87,52637191.14,42652462.38,57842425.77,46025283.22,42989943.79,42083428.3,56887773.5,58481430.37,59090644.9,95438020.71,58226634.1,90405745.18,65465028.83,47066935.12,65532461.16,59221169.24,58402000.7,56650657.81,60820903.62,41796964.03,33252239.38,49821625.7,47828508.64,52984888.09,52688564.26,69861146.94,60419330.43,61511385.77
CHEBI:73244,C8H9NO2,COC(=O)c1ccccc1N,"InChI=1S/C8H9NO2/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5H,9H2,1H3",Methyl 2-aminobenzoate,152.0703325,,,,393.6345,,,,,,,,,,,,867495.96,4930919.131,802732.9036,1098505.803,904313.2701,4180064.45,766532.2278,1302158.322,1144384.863,907301.2986,1738758.985,1174910.116,869240.94,1283425.398,1428948.193,5323845.692,1080397.277,708767.2447,1272815.336,1166924.432,666407.8226,1317573.951,1092865.715,1268983.984,2247981.368,1348795.608,1299759.108,2334607.823,1200338.819,921710.6275,783633.8254,1126250.406,2051823.664,1231356.951,811974.8594,905614.2421,988190.6246,1260300.225,1295905.35,1143701.361,1893118.233,1442056.849,2826860.859,1160139.667,1364359.965,1585770.555,1351443.909,1665685.936,1258279.265,905402.3962,1262787.488,1228759.103,1255217.068,1562063.964,2337639.358,1172434.058,833215.6512,3030806.104,1185234.194,1482282.608,1680089.369,914363.748,1577181.659,2033343.632
